,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
666,Chivas,2.0,9.0,1.0,5.0,4.0,2.0,11.0,5.0,7.0,23.0,0.4782608695652174,0.21739130434782608,0.30434782608695654,apertura 2006,38
667,Club Queretaro,7.0,7.0,4.0,4.0,9.0,5.0,12.0,13.0,11.0,36.0,0.3333333333333333,0.3611111111111111,0.3055555555555556,apertura 2006,38
668,Cruz Azul,1.0,5.0,4.0,3.0,2.0,4.0,9.0,6.0,4.0,19.0,0.47368421052631576,0.3157894736842105,0.21052631578947367,apertura 2006,38
669,Estudiantes,3.0,3.0,3.0,1.0,7.0,0.0,0.0,10.0,4.0,14.0,0.0,0.7142857142857143,0.2857142857142857,apertura 2006,38
670,Monterrey,3.0,7.0,0.0,4.0,5.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,apertura 2006,38
671,Morelia,2.0,6.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,apertura 2006,38
672,Necaxa,2.0,3.0,4.0,3.0,4.0,1.0,4.0,8.0,5.0,17.0,0.23529411764705882,0.47058823529411764,0.29411764705882354,apertura 2006,38
673,Pachuca,5.0,4.0,2.0,2.0,4.0,4.0,8.0,6.0,7.0,21.0,0.38095238095238093,0.2857142857142857,0.3333333333333333,apertura 2006,38
674,Pumas,2.0,5.0,3.0,4.0,2.0,3.0,8.0,5.0,6.0,19.0,0.42105263157894735,0.2631578947368421,0.3157894736842105,apertura 2006,38
675,Santos,7.0,0.0,1.0,1.0,7.0,1.0,0.0,8.0,8.0,16.0,0.0,0.5,0.5,apertura 2006,38
676,Tigres,4.0,3.0,1.0,1.0,8.0,0.0,0.0,9.0,5.0,14.0,0.0,0.6428571428571429,0.35714285714285715,apertura 2006,38
677,Toluca,1.0,9.0,1.0,7.0,4.0,1.0,10.0,5.0,8.0,23.0,0.43478260869565216,0.21739130434782608,0.34782608695652173,apertura 2006,38
678,Veracruz,1.0,6.0,2.0,1.0,7.0,2.0,8.0,9.0,2.0,19.0,0.42105263157894735,0.47368421052631576,0.10526315789473684,apertura 2006,38
679,America,1.0,9.0,2.0,4.0,4.0,3.0,12.0,6.0,5.0,23.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,clausura 2007,39
